<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.12	03:57:00	5059.94	5062.42	5059.35	5060.86	312	0	20
2026.02.12	03:58:00	5060.90	5062.93	5060.86	5061.25	232	0	22
2026.02.12	03:59:00	5061.26	5063.61	5060.44	5063.58	148	0	18
2026.02.12	04:00:00	5063.73	5070.77	5063.65	5070.45	302	0	18
2026.02.12	04:01:00	5070.47	5072.68	5070.22	5071.29	470	0	18
2026.02.12	04:02:00	5071.30	5071.38	5067.44	5067.44	244	0	19
2026.02.12	04:03:00	5067.33	5067.92	5065.70	5066.84	231	0	21
2026.02.12	04:04:00	5066.92	5069.24	5065.94	5068.72	267	0	18
2026.02.12	04:05:00	5068.71	5069.85	5067.89	5067.90	303	0	20
2026.02.12	04:06:00	5067.84	5070.00	5067.41	5069.33	239	0	17
2026.02.12	04:07:00	5069.29	5070.31	5067.37	5069.52	297	0	18
2026.02.12	04:08:00	5069.44	5070.41	5067.98	5068.89	282	0	20
2026.02.12	04:09:00	5068.88	5068.90	5066.70	5067.37	232	0	16
2026.02.12	04:10:00	5067.34	5067.34	5064.78	5064.78	177	0	16
2026.02.12	04:11:00	5064.85	5067.12	5064.84	5067.03	203	0	19
2026.02.12	04:12:00	5067.06	5069.82	5067.06	5069.44	267	0	19
2026.02.12	04:13:00	5069.45	5069.53	5068.02	5068.66	221	0	20
2026.02.12	04:14:00	5068.65	5068.92	5067.60	5067.96	152	0	19
2026.02.12	04:15:00	5068.16	5068.69	5067.30	5067.34	117	0	18
2026.02.12	04:16:00	5067.45	5070.09	5067.45	5069.13	157	0	18
2026.02.12	04:17:00	5069.18	5069.87	5067.51	5069.59	104	0	18
2026.02.12	04:18:00	5069.58	5069.58	5067.51	5067.83	98	0	19
2026.02.12	04:19:00	5067.90	5067.95	5065.76	5065.76	95	0	16
2026.02.12	04:20:00	5065.98	5072.76	5065.98	5068.98	332	0	16
2026.02.12	04:21:00	5069.02	5070.23	5065.98	5068.01	308	0	16
2026.02.12	04:22:00	5068.04	5068.54	5066.32	5066.75	158	0	17
2026.02.12	04:23:00	5066.76	5067.73	5066.14	5066.19	83	0	16
2026.02.12	04:24:00	5066.28	5067.37	5065.80	5066.42	123	0	19
2026.02.12	04:25:00	5066.54	5066.73	5062.20	5063.32	199	0	18
2026.02.12	04:26:00	5063.38	5065.91	5063.38	5065.57	167	0	19
2026.02.12	04:27:00	5065.62	5066.07	5062.75	5062.97	89	0	18
2026.02.12	04:28:00	5063.08	5065.19	5062.67	5065.19	88	0	18
2026.02.12	04:29:00	5065.21	5066.85	5064.79	5066.72	127	0	20
2026.02.12	04:30:00	5066.71	5069.00	5064.23	5066.53	289	0	19
2026.02.12	04:31:00	5066.55	5069.91	5064.05	5064.62	316	0	18
2026.02.12	04:32:00	5064.58	5068.27	5064.02	5067.90	263	0	18
2026.02.12	04:33:00	5067.89	5068.92	5066.95	5067.75	182	0	19
2026.02.12	04:34:00	5067.77	5069.45	5065.08	5065.08	266	0	18
2026.02.12	04:35:00	5065.07	5065.07	5059.98	5060.42	230	0	16
2026.02.12	04:36:00	5060.43	5062.38	5060.42	5062.19	149	0	21
2026.02.12	04:37:00	5062.24	5062.24	5060.24	5061.14	155	0	19
2026.02.12	04:38:00	5061.26	5061.29	5057.92	5060.40	192	0	19
2026.02.12	04:39:00	5060.41	5061.17	5059.87	5060.47	141	0	21
2026.02.12	04:40:00	5060.49	5061.78	5059.07	5059.07	118	0	20
2026.02.12	04:41:00	5058.85	5061.49	5057.99	5060.96	214	0	21
