<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.13	04:13:00	159.205	159.230	159.205	159.230	134	0	10
2026.03.13	04:14:00	159.229	159.251	159.226	159.229	160	0	8
2026.03.13	04:15:00	159.230	159.234	159.216	159.232	127	0	8
2026.03.13	04:16:00	159.233	159.243	159.226	159.240	137	0	8
2026.03.13	04:17:00	159.243	159.266	159.240	159.259	153	0	8
2026.03.13	04:18:00	159.258	159.264	159.254	159.259	141	0	10
2026.03.13	04:19:00	159.260	159.273	159.259	159.264	131	0	8
2026.03.13	04:20:00	159.265	159.267	159.251	159.261	97	0	10
2026.03.13	04:21:00	159.262	159.269	159.251	159.264	111	0	10
2026.03.13	04:22:00	159.264	159.288	159.252	159.288	121	0	8
2026.03.13	04:23:00	159.287	159.288	159.277	159.284	123	0	8
2026.03.13	04:24:00	159.284	159.296	159.283	159.293	111	0	8
2026.03.13	04:25:00	159.292	159.304	159.291	159.293	114	0	8
2026.03.13	04:26:00	159.292	159.315	159.291	159.314	86	0	8
2026.03.13	04:27:00	159.316	159.336	159.304	159.334	102	0	8
2026.03.13	04:28:00	159.333	159.340	159.332	159.337	121	0	8
2026.03.13	04:29:00	159.336	159.338	159.328	159.335	62	0	8
2026.03.13	04:30:00	159.335	159.337	159.299	159.301	115	0	10
2026.03.13	04:31:00	159.301	159.302	159.291	159.293	78	0	11
2026.03.13	04:32:00	159.293	159.312	159.292	159.307	100	0	10
2026.03.13	04:33:00	159.307	159.310	159.304	159.308	80	0	8
2026.03.13	04:34:00	159.307	159.314	159.302	159.304	126	0	8
2026.03.13	04:35:00	159.304	159.319	159.304	159.317	100	0	8
2026.03.13	04:36:00	159.318	159.325	159.317	159.323	139	0	8
2026.03.13	04:37:00	159.322	159.341	159.319	159.339	119	0	8
2026.03.13	04:38:00	159.338	159.346	159.337	159.345	82	0	8
2026.03.13	04:39:00	159.346	159.355	159.344	159.351	100	0	8
2026.03.13	04:40:00	159.349	159.358	159.348	159.349	79	0	8
2026.03.13	04:41:00	159.350	159.353	159.348	159.352	60	0	8
2026.03.13	04:42:00	159.352	159.353	159.338	159.345	79	0	10
2026.03.13	04:43:00	159.344	159.350	159.343	159.349	82	0	10
2026.03.13	04:44:00	159.350	159.352	159.348	159.348	163	0	10
2026.03.13	04:45:00	159.349	159.362	159.344	159.361	81	0	8
2026.03.13	04:46:00	159.360	159.362	159.360	159.362	16	0	10
2026.03.13	04:47:00	159.361	159.363	159.357	159.362	22	0	11
2026.03.13	04:48:00	159.361	159.368	159.359	159.367	24	0	8
2026.03.13	04:49:00	159.368	159.368	159.341	159.343	78	0	8
2026.03.13	04:50:00	159.343	159.359	159.342	159.359	115	0	8
2026.03.13	04:51:00	159.356	159.356	159.346	159.348	63	0	10
2026.03.13	04:52:00	159.351	159.351	159.336	159.337	60	0	8
2026.03.13	04:53:00	159.338	159.346	159.292	159.303	183	0	8
2026.03.13	04:54:00	159.302	159.331	159.302	159.315	173	0	8
2026.03.13	04:55:00	159.314	159.321	159.244	159.270	223	0	8
2026.03.13	04:56:00	159.270	159.290	159.251	159.267	182	0	8
2026.03.13	04:57:00	159.268	159.301	159.268	159.291	185	0	8
2026.03.13	04:58:00	159.290	159.305	159.289	159.290	136	0	8
2026.03.13	04:59:00	159.289	159.293	159.277	159.279	98	0	10
2026.03.13	05:00:00	159.279	159.288	159.249	159.279	210	0	8
2026.03.13	05:01:00	159.280	159.303	159.267	159.302	161	0	8
2026.03.13	05:02:00	159.301	159.310	159.298	159.309	71	0	8
2026.03.13	05:03:00	159.308	159.314	159.306	159.306	111	0	8
2026.03.13	05:04:00	159.307	159.325	159.306	159.319	114	0	8
2026.03.13	05:05:00	159.319	159.324	159.309	159.309	126	0	8
2026.03.13	05:06:00	159.310	159.319	159.306	159.309	103	0	8
2026.03.13	05:07:00	159.310	159.310	159.279	159.279	54	0	8
2026.03.13	05:08:00	159.278	159.278	159.257	159.258	64	0	8
2026.03.13	05:09:00	159.260	159.285	159.258	159.284	74	0	8
